因子,参数,TopK,年化收益%,Sharpe,最大回撤%,Calmar,胜率%,交易次数,Start,Univ15-17,Univ18-26
低波动6m,6m,5,9.3,5.14,-14.0,0.66,71.7,120,2015-02-02,0,0
低波动12m,12m,5,9.8,5.096,-15.1,0.65,72.2,79,2015-02-02,0,0
低波动3m,3m,5,9.3,4.927,-13.6,0.68,67.6,188,2015-02-02,0,0
低波动6m,6m,10,8.7,4.196,-19.7,0.44,65.9,205,2015-02-02,0,0
低波动12m,12m,10,8.1,4.102,-22.9,0.35,70.9,141,2015-02-02,0,0
低波动3m,3m,10,8.9,4.097,-15.3,0.58,63.8,315,2015-02-02,0,0
Multi_动量+低波,动量+低波,10,8.4,3.727,-25.3,0.33,54.2,275,2015-02-02,0,0
Multi_动量+低波,动量+低波,5,10.0,3.685,-31.4,0.32,62.9,186,2015-02-02,0,0
Multi_低波+量能+动量,低波+量能+动量,5,7.4,3.637,-17.9,0.41,61.2,201,2015-02-02,0,0
Multi_低波+趋势,低波+趋势,5,5.9,3.467,-12.9,0.45,63.5,181,2015-02-02,0,0
Multi_低波+量能+动量,低波+量能+动量,10,6.2,3.047,-22.4,0.28,56.7,300,2015-02-02,0,0
Multi_低波+趋势,低波+趋势,10,4.7,2.635,-20.8,0.22,57.6,271,2015-02-02,0,0
价格均线比MA60,MA60,10,6.3,1.92,-27.3,0.23,49.5,762,2015-02-02,0,0
短期反转1m,1m,10,6.2,1.771,-26.9,0.23,56.4,1030,2015-02-02,0,0
动量6-1m,6m,5,5.1,1.688,-35.0,0.15,53.2,269,2015-02-02,0,0
动量简单12m,12m,10,3.9,1.445,-34.0,0.11,54.1,329,2015-02-02,0,0
动量12-1m,12m,10,3.6,1.426,-33.0,0.11,56.1,310,2015-02-02,0,0
短期反转1m,1m,5,3.9,1.259,-31.1,0.13,53.0,596,2015-02-02,0,0
价格均线比MA60,MA60,5,3.7,1.235,-35.8,0.1,48.6,469,2015-02-02,0,0
动量6-1m,6m,10,2.9,1.171,-33.2,0.09,53.2,427,2015-02-02,0,0
动量12-1m,12m,5,2.9,1.156,-34.8,0.08,53.7,216,2015-02-02,0,0
量能趋势12-3m,12-3m,10,2.2,1.044,-25.4,0.08,52.1,351,2015-02-02,0,0
价格均线比MA120,MA120,10,2.4,1.024,-39.7,0.06,46.2,552,2015-02-02,0,0
动量简单12m,12m,5,2.4,0.944,-41.5,0.06,45.7,221,2015-02-02,0,0
价格均线比MA120,MA120,5,0.9,0.636,-44.1,0.02,46.9,356,2015-02-02,0,0
量能趋势12-3m,12-3m,5,0.8,0.578,-24.8,0.03,48.1,208,2015-02-02,0,0
